mode,Num_Provs,Num_EVs,Num_MSs,n_ev,n_ms,lat_min,lat_med,lat_max,lat_mean,lat_std,success_rate,calls_per_sec
jodi,1000,20,20,1,1,32.72,40.719,75.738,45.703,11.355,100.0,574
jodi,1000,20,20,1,2,32.479,40.77,74.183,42.467,5.755,100.0,515
jodi,1000,20,20,1,3,32.959,41.862,79.99,44.129,7.083,100.0,429
jodi,1000,20,20,1,4,32.973,41.435,71.991,42.588,4.924,100.0,387
jodi,1000,20,20,1,5,32.154,41.163,75.722,43.119,6.001,100.0,336
jodi,1000,20,20,1,6,32.199,41.642,71.144,43.182,5.015,100.0,303
jodi,1000,20,20,1,7,32.841,41.3,74.974,43.014,5.584,100.0,275
jodi,1000,20,20,1,8,34.522,41.294,75.757,43.01,4.945,100.0,253
jodi,1000,20,20,1,9,32.931,41.591,82.582,43.388,5.713,100.0,223
jodi,1000,20,20,1,10,33.917,41.256,72.993,42.619,4.47,100.0,217
jodi,1000,20,20,2,1,34.794,43.777,87.086,45.967,7.151,100.0,495
jodi,1000,20,20,2,2,34.911,43.883,75.186,45.56,5.922,100.0,408
jodi,1000,20,20,2,3,35.61,44.122,75.484,45.577,5.314,100.0,372
jodi,1000,20,20,2,4,35.006,44.392,79.297,45.974,5.862,100.0,323
jodi,1000,20,20,2,5,35.781,44.294,78.47,45.593,4.964,100.0,297
jodi,1000,20,20,2,6,35.029,43.854,75.398,45.248,4.517,100.0,271
jodi,1000,20,20,2,7,34.223,43.832,77.0,45.755,5.806,100.0,234
jodi,1000,20,20,2,8,35.591,43.938,74.822,45.628,5.489,100.0,225
jodi,1000,20,20,2,9,38.696,44.076,75.735,45.635,4.986,100.0,210
jodi,1000,20,20,2,10,33.22,44.3,77.548,46.449,5.975,100.0,190
jodi,1000,20,20,3,1,36.87,45.934,82.514,47.852,6.829,100.0,407
jodi,1000,20,20,3,2,37.452,46.182,83.431,48.115,6.46,100.0,355
jodi,1000,20,20,3,3,37.241,46.39,80.773,48.235,6.369,100.0,315
jodi,1000,20,20,3,4,37.241,46.5,80.558,48.309,6.307,100.0,286
jodi,1000,20,20,3,5,37.194,46.619,81.939,48.366,5.942,100.0,256
jodi,1000,20,20,3,6,37.212,46.587,81.038,48.148,5.533,100.0,241
jodi,1000,20,20,3,7,38.251,46.444,80.973,47.96,5.056,100.0,227
jodi,1000,20,20,3,8,39.284,46.253,78.922,47.736,5.17,100.0,208
